(2.5714285714285716, 81.38095238095238, 1L, 79L, 5L, 85L, 0.67771464586257935)
(2.7777777777777777, 177.11111111111111, 1L, 175L, 5L, 181L, 0.57276999950408936)
(10.125, 831.83333333333337, 8L, 830L, 14L, 835L, 0.99791234731674194)
(10.607142857142858, 880.17857142857144, 8L, 878L, 14L, 884L, 0.97895961999893188)
(11.807692307692308, 345.80769230769232, 9L, 343L, 15L, 349L, 0.94944846630096436)
(11.44, 539.39999999999998, 9L, 537L, 15L, 543L, 0.9675980806350708)
(11.56, 636.60000000000002, 9L, 634L, 15L, 640L, 0.92365247011184692)
(11.119999999999999, 734.72000000000003, 9L, 732L, 15L, 738L, 0.96432209014892578)
(11.0, 783.0, 9L, 781L, 14L, 786L, 0.96447610855102539)
(12.217391304347826, 588.08695652173913, 10L, 586L, 16L, 591L, 0.95240163803100586)
(12.0, 685.82608695652175, 10L, 684L, 15L, 689L, 0.95430088043212891)
(13.434782608695652, 56.826086956521742, 11L, 55L, 17L, 60L, 0.89931261539459229)
(13.708333333333334, 152.54166666666666, 11L, 150L, 17L, 156L, 0.88495332002639771)
(13.428571428571429, 249.0952380952381, 11L, 247L, 17L, 252L, 0.9244537353515625)
(13.619047619047619, 297.23809523809524, 11L, 295L, 17L, 300L, 0.92688781023025513)
(13.19047619047619, 393.85714285714283, 11L, 392L, 16L, 397L, 0.94230812788009644)
(13.090909090909092, 442.09090909090907, 11L, 440L, 16L, 445L, 0.9477081298828125)
(13.0, 491.0, 11L, 489L, 16L, 494L, 0.98657214641571045)
(14.368421052631579, 9.2105263157894743, 12L, 7L, 17L, 12L, 0.94372677803039551)
(14.272727272727273, 200.18181818181819, 12L, 198L, 18L, 203L, 0.94492900371551514)
(14.949999999999999, 104.09999999999999, 13L, 102L, 18L, 107L, 0.93615686893463135)
(31.296296296296298, 612.94444444444446, 27L, 610L, 36L, 617L, 1.0)
(31.122448979591837, 709.91836734693879, 27L, 707L, 36L, 714L, 1.0)
(30.811320754716981, 807.71698113207549, 27L, 804L, 36L, 812L, 1.0)
(32.327586206896555, 417.74137931034483, 28L, 414L, 38L, 422L, 1.0)
(31.92982456140351, 515.64912280701753, 28L, 512L, 37L, 520L, 1.0)
(33.6875, 128.671875, 29L, 125L, 39L, 133L, 1.0)
(33.540983606557376, 321.44262295081967, 29L, 318L, 39L, 326L, 1.0)
(34.709090909090911, 33.054545454545455, 30L, 30L, 40L, 37L, 1.0)
(34.05263157894737, 225.19298245614036, 30L, 222L, 39L, 230L, 1.0)
(37.148148148148145, 759.38888888888891, 33L, 756L, 42L, 764L, 1.0)
(36.854545454545452, 856.76363636363635, 33L, 853L, 42L, 861L, 1.0)
(38.057692307692307, 563.94230769230774, 34L, 561L, 43L, 568L, 1.0)
(37.549019607843135, 661.94117647058829, 34L, 659L, 42L, 666L, 1.0)
(39.203703703703702, 369.94444444444446, 35L, 367L, 44L, 374L, 1.0)
(38.920000000000002, 467.01999999999998, 35L, 464L, 44L, 471L, 1.0)
(40.777777777777779, 81.092592592592595, 36L, 78L, 46L, 85L, 1.0)
(40.185185185185183, 176.2962962962963, 36L, 173L, 45L, 181L, 1.0)
(40.074074074074076, 272.7962962962963, 36L, 269L, 45L, 277L, 1.0)
(60.653846153846153, 831.65384615384619, 58L, 829L, 64L, 835L, 0.93967747688293457)
(61.846153846153847, 539.57692307692309, 59L, 537L, 65L, 543L, 0.92684376239776611)
(61.214285714285715, 636.5, 59L, 634L, 65L, 640L, 0.92948174476623535)
(61.100000000000001, 685.70000000000005, 59L, 684L, 64L, 689L, 0.93922656774520874)
(61.090909090909093, 734.09090909090912, 59L, 732L, 64L, 737L, 0.94850987195968628)
(61.0, 783.0, 59L, 781L, 64L, 786L, 0.94235843420028687)
(60.954545454545453, 880.72727272727275, 59L, 879L, 64L, 884L, 0.95152097940444946)
(62.0, 491.0, 60L, 489L, 65L, 494L, 0.96075671911239624)
(61.909090909090907, 588.09090909090912, 60L, 586L, 65L, 591L, 0.91422760486602783)
(63.5, 248.5, 61L, 246L, 67L, 252L, 0.90476357936859131)
(63.61904761904762, 345.71428571428572, 61L, 344L, 67L, 349L, 0.91380578279495239)
(63.782608695652172, 393.91304347826087, 61L, 392L, 67L, 397L, 0.91670149564743042)
(62.875, 442.33333333333331, 61L, 440L, 66L, 446L, 0.92616599798202515)
(64.21052631578948, 104.63157894736842, 62L, 103L, 67L, 108L, 0.91899466514587402)
(63.875, 152.33333333333334, 62L, 150L, 67L, 156L, 0.91971790790557861)
(63.75, 200.25, 62L, 198L, 67L, 203L, 0.91482585668563843)
(63.916666666666664, 296.91666666666669, 62L, 295L, 67L, 300L, 0.94331628084182739)
(65.352941176470594, 9.4705882352941178, 63L, 8L, 68L, 12L, 0.99961298704147339)
(64.875, 56.666666666666664, 63L, 54L, 68L, 60L, 0.92929154634475708)
(81.156862745098039, 807.64705882352939, 77L, 804L, 86L, 812L, 1.0)
(82.053571428571431, 515.375, 78L, 512L, 87L, 520L, 1.0)
(81.629629629629633, 612.7962962962963, 78L, 609L, 87L, 617L, 1.0)
(81.5, 709.88, 78L, 707L, 86L, 714L, 1.0)
(83.690909090909088, 224.25454545454545, 79L, 221L, 89L, 229L, 1.0)
(83.17647058823529, 417.78431372549022, 79L, 414L, 88L, 422L, 1.0)
(84.910714285714292, 33.0, 80L, 30L, 90L, 37L, 1.0)
(84.288135593220332, 128.33898305084745, 80L, 125L, 90L, 133L, 0.99999892711639404)
(83.551020408163268, 320.9387755102041, 80L, 318L, 88L, 325L, 1.0)
(86.528301886792448, 856.66037735849056, 83L, 853L, 91L, 861L, 1.0)
(88.037735849056602, 661.7358490566038, 84L, 658L, 93L, 666L, 1.0)
(87.673469387755105, 759.0408163265306, 84L, 756L, 92L, 763L, 1.0)
(88.822222222222223, 564.15555555555557, 85L, 561L, 93L, 568L, 1.0)
(90.563636363636363, 80.799999999999997, 86L, 78L, 96L, 85L, 1.0)
(90.301886792452834, 176.67924528301887, 86L, 173L, 95L, 181L, 1.0)
(90.08620689655173, 272.67241379310343, 86L, 269L, 95L, 277L, 1.0)
(89.920000000000002, 369.98000000000002, 86L, 367L, 95L, 374L, 1.0)
(89.40384615384616, 466.48076923076923, 86L, 463L, 94L, 471L, 1.0)
(110.39130434782609, 831.95652173913038, 108L, 830L, 114L, 835L, 0.95767086744308472)
(111.09090909090909, 734.09090909090912, 109L, 732L, 114L, 737L, 0.94733285903930664)
(111.0, 880.0, 109L, 878L, 114L, 883L, 0.94951486587524414)
(112.60869565217391, 490.95652173913044, 110L, 489L, 116L, 494L, 0.92047429084777832)
(112.04000000000001, 539.39999999999998, 110L, 537L, 115L, 543L, 0.93046808242797852)
(112.66666666666667, 588.125, 110L, 586L, 116L, 591L, 0.90238934755325317)
(111.90909090909091, 636.90909090909088, 110L, 635L, 115L, 640L, 0.95258992910385132)
(112.72727272727273, 685.18181818181813, 110L, 683L, 116L, 688L, 0.92059832811355591)
(111.90909090909091, 782.90909090909088, 110L, 781L, 115L, 786L, 0.93055045604705811)
(113.45833333333333, 248.20833333333334, 111L, 246L, 117L, 252L, 0.90435081720352173)
(113.5, 345.5, 111L, 343L, 117L, 349L, 0.88619375228881836)
(113.21739130434783, 442.08695652173913, 111L, 440L, 117L, 445L, 0.93902057409286499)
(114.23809523809524, 56.61904761904762, 112L, 54L, 117L, 60L, 0.94425570964813232)
(114.08695652173913, 152.21739130434781, 112L, 150L, 117L, 156L, 0.94279384613037109)
(114.23809523809524, 200.38095238095238, 112L, 198L, 117L, 204L, 0.93404191732406616)
(114.25, 296.75, 112L, 295L, 117L, 300L, 0.94726765155792236)
(114.0, 394.0, 112L, 392L, 117L, 397L, 0.94280993938446045)
(115.21052631578948, 9.3684210526315788, 113L, 7L, 118L, 12L, 0.9388115406036377)
(115.04000000000001, 104.59999999999999, 113L, 102L, 118L, 108L, 0.94851738214492798)
(131.03389830508473, 612.4406779661017, 127L, 609L, 136L, 617L, 1.0)
(131.25454545454545, 710.0, 127L, 707L, 136L, 714L, 1.0)
(130.70588235294119, 806.9019607843137, 127L, 804L, 136L, 811L, 1.0)
(132.77777777777777, 417.53968253968253, 128L, 414L, 138L, 422L, 1.0)
