(6.3891050583657591, 14.669260700389104, 0L, 4L, 16L, 25L)
(3.657142857142857, 52.885714285714286, 0L, 44L, 10L, 63L)
(4.6363636363636367, 80.055944055944053, 0L, 74L, 12L, 90L)
(3.2526315789473683, 114.12631578947368, 0L, 108L, 9L, 122L)
(6.9692982456140351, 147.21052631578948, 0L, 138L, 16L, 157L)
(5.6974358974358976, 323.78461538461539, 0L, 316L, 14L, 333L)
(2.7127659574468086, 355.37234042553189, 0L, 348L, 8L, 364L)
(3.3859649122807016, 383.18421052631578, 0L, 376L, 9L, 393L)
(3.1473684210526316, 412.22105263157897, 0L, 406L, 9L, 421L)
(2.75, 442.88043478260869, 0L, 436L, 8L, 452L)
(3.5277777777777777, 476.02777777777777, 0L, 470L, 9L, 485L)
(6.3100436681222707, 644.37554585152839, 0L, 636L, 15L, 655L)
(4.6761904761904765, 674.35714285714289, 0L, 664L, 13L, 687L)
(3.6666666666666665, 702.82638888888891, 0L, 694L, 10L, 714L)
(3.125, 731.19230769230774, 0L, 724L, 9L, 740L)
(1.8799999999999999, 873.13999999999999, 0L, 868L, 6L, 880L)
(4.8571428571428568, 924.77714285714285, 0L, 917L, 13L, 935L)
(10.76, 993.85777777777776, 0L, 987L, 21L, 1000L)
(9.6666666666666661, 288.30081300813009, 1L, 280L, 19L, 298L)
(7.6237623762376234, 204.92079207920793, 2L, 200L, 14L, 211L)
(9.8407643312101918, 176.78343949044586, 3L, 170L, 17L, 185L)
(11.164285714285715, 257.78214285714284, 3L, 248L, 20L, 269L)
(8.5, 584.0, 3L, 578L, 15L, 591L)
(8.8866666666666667, 614.24000000000001, 3L, 607L, 16L, 622L)
(9.5914634146341466, 942.92073170731703, 3L, 935L, 16L, 952L)
(10.319526627218934, 494.92307692307691, 4L, 488L, 18L, 503L)
(9.7368421052631575, 554.0, 4L, 548L, 16L, 561L)
(11.137096774193548, 231.33064516129033, 5L, 225L, 18L, 238L)
(11.414473684210526, 461.17105263157896, 5L, 455L, 19L, 469L)
(10.93661971830986, 524.33802816901414, 5L, 518L, 18L, 532L)
(12.078125, 430.234375, 6L, 424L, 19L, 437L)
(13.87603305785124, 401.198347107438, 8L, 395L, 21L, 408L)
(21.346638655462186, 855.13025210084038, 8L, 835L, 33L, 873L)
(17.167381974248926, 29.420600858369099, 9L, 21L, 27L, 39L)
(16.131250000000001, 105.0, 9L, 98L, 24L, 113L)
(15.921348314606741, 126.37640449438203, 9L, 119L, 24L, 135L)
(15.664383561643836, 369.3082191780822, 9L, 362L, 23L, 377L)
(18.239234449760765, 62.665071770334926, 11L, 54L, 26L, 72L)
(23.832432432432434, 163.77837837837839, 11L, 150L, 37L, 179L)
(20.521505376344088, 309.32258064516128, 13L, 302L, 29L, 318L)
(24.643478260869564, 344.08405797101449, 13L, 332L, 38L, 356L)
(22.412556053811659, 677.84753363228697, 14L, 670L, 32L, 687L)
(22.642512077294686, 738.87439613526567, 14L, 730L, 31L, 748L)
(20.5, 965.89361702127655, 15L, 961L, 27L, 972L)
(25.081967213114755, 803.44918032786882, 16L, 793L, 35L, 815L)
(26.009740259740258, 915.37987012987014, 16L, 906L, 37L, 927L)
(23.386904761904763, 825.32142857142856, 17L, 818L, 31L, 833L)
(24.784615384615385, 881.4666666666667, 17L, 874L, 33L, 890L)
(27.086956521739129, 759.91666666666663, 18L, 747L, 36L, 773L)
